,LifetimeB1,LifetimeB2,ATLASlumi,CMSlumi,IntB1,IntB2,Ene,Betastar_IP1,Betastar_IP5,Xing_IP1,Xing_IP5,BMode
1525597981.785,2.709,6.395,0.0,0.0,7090000000.0,8710000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525597991.785,2.586,6.217,0.0,0.0,7630000000.0,8780000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598001.785,2.636,6.797,0.0,0.0,7650000000.0,8990000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598011.785,2.621,6.325,0.0,0.0,7440000000.0,8830000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598021.785,2.544,6.683,0.0,0.0,7760000000.0,8430000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598031.785,2.449,6.086,0.0,0.0,8110000000.0,9560000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598041.785,2.666,6.167,0.0,0.0,7770000000.0,9140000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598051.785,2.591,6.478,0.0,0.0,7760000000.0,9150000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598061.785,2.614,6.396,0.0,0.000172885,7620000000.0,8730000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598071.785,2.503,6.285,0.0,0.0,7630000000.0,8620000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598081.785,2.575,6.226,0.0,0.0,7650000000.0,8860000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598091.785,2.537,6.373,0.0,0.0,7450000000.0,9420000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598101.785,2.57,6.457,0.0,0.0,7830000000.0,8920000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598111.785,2.597,6.196,0.0,0.0,8220000000.0,9360000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598121.785,2.684,6.575,0.0,0.0,8090000000.0,9170000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598131.785,2.547,6.028,0.0,0.0,6500000000.0,8830000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598141.785,2.573,6.531,0.0,0.0,7580000000.0,8570000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598151.785,2.487,6.364,0.0,0.0,8800000000.0,8970000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598161.785,2.652,6.374,0.001027793,0.0,7290000000.0,8610000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598171.785,2.612,6.215,0.0,0.0,7090000000.0,8390000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598181.785,2.611,6.281,0.0,0.0,6590000000.0,8640000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598191.785,2.681,6.551,0.001072963,0.0,6590000000.0,8540000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598201.785,2.68,6.363,0.0,0.0,8220000000.0,8470000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598211.785,2.763,6.549,0.002036777,0.0,7450000000.0,8610000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598221.785,2.639,6.055,0.000937453,0.0,8330000000.0,8850000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598231.785,2.688,6.615,0.0,0.0,7340000000.0,8410000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598241.785,2.667,6.476,0.0,0.0,7830000000.0,8520000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598251.785,2.658,6.372,0.000229895,0.000172885,7950000000.0,9160000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598261.785,2.555,6.071,0.001266035,0.0,7320000000.0,8290000000.0,494.0,48.0,45.0,170.0,170.0,2.0
