,LifetimeB1,LifetimeB2,ATLASlumi,CMSlumi,IntB1,IntB2,Ene,Betastar_IP1,Betastar_IP5,Xing_IP1,Xing_IP5,BMode
1525287600.696,7.236,0.0,0.0,0.0,15230000000.0,330000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287610.696,7.335,0.0,0.0,0.0,15300000000.0,440000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287620.696,7.412,0.0,0.0,0.0,16020000000.0,240000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287630.696,7.25,0.0,0.0,0.0,16560000000.0,180000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287640.696,7.183,0.0,0.0,0.0,16770000000.0,70000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287650.696,7.8,0.0,0.0,0.0,16900000000.0,-280000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287660.696,7.017,0.0,0.0,0.0,16660000000.0,-430000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287670.696,7.333,0.0,0.0,0.0,15410000000.0,530000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287680.696,7.231,0.0,0.0,0.0,15380000000.0,840000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287690.696,7.185,0.0,0.0,0.0,16300000000.0,520000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287700.696,7.327,0.0,0.0,0.0,15850000000.0,340000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287710.696,7.336,0.0,0.0,0.0,15790000000.0,890000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287720.696,7.134,0.0,0.0,0.0,16030000000.0,770000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287730.696,7.422,0.0,0.0,0.0,16180000000.0,450000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287740.696,7.382,0.0,0.0,0.0,16160000000.0,270000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287750.696,1.777,0.0,0.0,0.0,15980000000.0,370000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287760.696,7.672,0.0,0.0,0.0,16250000000.0,-60000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287770.696,7.22,0.0,0.0,0.0,17040000000.0,-470000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287780.696,7.427,0.0,0.0,0.0,16280000000.0,440000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287790.696,7.528,6.735,0.0,0.0,16710000000.0,8440000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287800.696,7.959,6.836,0.0,0.0,17010000000.0,8460000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287810.696,7.616,6.758,0.0,0.0,16900000000.0,8240000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287820.696,7.574,7.595,0.0,0.0,16560000000.0,8540000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287830.696,7.464,7.547,0.0,0.0,17200000000.0,8810000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287840.696,7.768,7.391,0.0,0.0,16640000000.0,8200000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287850.696,7.334,7.16,0.0,0.0,15690000000.0,8500000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287860.696,7.685,3.788,0.0,0.0,16690000000.0,8380000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287870.696,7.895,6.807,0.0,0.0,16760000000.0,8310000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287880.696,7.736,7.409,0.0,0.0,16080000000.0,7680000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287890.696,7.885,6.862,0.0,0.0,15720000000.0,7970000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287900.696,7.955,6.513,0.0,0.0,17290000000.0,8160000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287910.696,7.493,6.45,0.0,0.0,16170000000.0,8480000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287920.696,7.774,6.437,0.0,0.0,16510000000.0,7890000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287930.696,7.793,6.688,0.0,0.0,17450000000.0,8000000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287940.696,7.725,6.485,0.0,0.000172885,17150000000.0,7870000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287950.696,7.407,6.765,0.0,0.0,17060000000.0,8180000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287960.696,7.469,6.558,0.0,0.0,16680000000.0,8450000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287970.696,7.423,6.571,0.0,0.0,16970000000.0,7790000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287980.696,7.362,6.496,0.0,0.0,17200000000.0,8010000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525287990.696,7.658,6.497,0.0,0.0,15830000000.0,8790000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525288000.696,7.53,6.712,0.0,0.0,16290000000.0,7960000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525288010.696,8.269,7.278,0.0,0.0,16660000000.0,8360000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525288020.696,7.692,7.356,0.0,0.0,16000000000.0,8440000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525288030.696,8.067,7.127,0.0,0.0,16210000000.0,8580000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525288040.696,7.689,6.633,0.0,0.0,16710000000.0,8460000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525288050.696,8.474,6.58,0.0,0.0,16430000000.0,8330000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525288060.696,7.73,6.747,0.0,0.0,16250000000.0,9030000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525288070.696,7.672,6.518,0.0,0.0,16780000000.0,8300000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525288080.696,7.191,6.432,0.0,0.0,15980000000.0,8130000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525288090.696,8.029,6.643,0.0,0.0,15650000000.0,8320000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525288100.696,7.271,6.733,0.0,0.0,15750000000.0,7950000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
1525288110.696,7.795,6.566,0.0,0.0,17540000000.0,8440000000.0,52564.0,25.0,25.0,170.0,170.0,14.0
